event_id,rainfall_mm,shape,dt_s,horizon_h,curve_number,lag_min,discharge_coefficient,rainfall_total_mm,parking_runoff_m3,direct_rain_m3,total_inflow_m3,runoff_generation_error_m3,transform_error_m3,inflow_tail_end_h,baseline_peak_m3_s,baseline_time_to_peak_min
25mm_uniform,25.0,uniform,1.875,30.0,98.0,10.0,0.62,25.0,78.80595469107676,5.0,83.80595469107676,-1.4210854715202004e-14,1.4210854715202004e-14,1.834375,0.027765526509062326,59.984375
25mm_front_loaded,25.0,front_loaded,1.875,30.0,98.0,10.0,0.62,25.0,78.80595469107678,4.999999999999999,83.80595469107676,0.0,-1.4210854715202004e-14,1.834375,0.03268143408752649,28.703125
25mm_back_loaded,25.0,back_loaded,1.875,30.0,98.0,10.0,0.62,25.0,78.80595469107676,5.0,83.80595469107675,0.0,1.4210854715202004e-14,1.834375,0.04089936274911014,59.984375
50mm_uniform,50.0,uniform,1.875,30.0,98.0,10.0,0.62,50.0,177.10337120827518,10.0,187.10337120827518,0.0,0.0,1.834375,0.057478790323088766,59.984375
50mm_front_loaded,50.0,front_loaded,1.875,30.0,98.0,10.0,0.62,50.0,177.10337120827518,9.999999999999998,187.10337120827518,0.0,0.0,1.834375,0.07319136248828047,26.234375
50mm_back_loaded,50.0,back_loaded,1.875,30.0,98.0,10.0,0.62,50.0,177.10337120827515,10.0,187.10337120827515,0.0,0.0,1.834375,0.08567394941731443,59.984375
100mm_uniform,100.0,uniform,1.875,30.0,98.0,10.0,0.62,100.0,376.15038887164826,20.0,396.15038887164826,0.0,0.0,1.834375,0.11619016669016885,59.984375
100mm_front_loaded,100.0,front_loaded,1.875,30.0,98.0,10.0,0.62,100.0,376.1503888716482,19.999999999999996,396.15038887164826,0.0,0.0,1.834375,0.15482958805678665,24.828125
100mm_back_loaded,100.0,back_loaded,1.875,30.0,98.0,10.0,0.62,100.0,376.15038887164826,20.0,396.15038887164826,0.0,0.0,1.834375,0.17396175334108657,59.984375
