event_id,rainfall_mm,shape,dt_s,horizon_h,curve_number,lag_min,discharge_coefficient,rainfall_total_mm,parking_runoff_m3,direct_rain_m3,total_inflow_m3,runoff_generation_error_m3,transform_error_m3,inflow_tail_end_h,baseline_peak_m3_s,baseline_time_to_peak_min,design_id,storage_depth_m,capacity_m3,outlet_side_mm,peak_downstream_m3_s,peak_reduction_pct,time_to_peak_min,maximum_storage_m3,maximum_depth_m,overflow_m3,overflow_onset_min,controlled_discharge_m3,total_discharge_m3,residual_storage_m3,drawdown_h_after_rain,routing_balance_error_m3,routing_balance_relative_error,peak_pass,overflow_pass,drawdown_pass,simulation_runtime_s,all_pass
25mm_uniform,25.0,uniform,15.0,60.0,98.0,10.0,0.62,25.0,78.80595469107675,5.000000000000001,83.80595469107675,0.0,-1.4210854715202004e-14,1.8416666666666666,0.027755661457152372,59.875,h0.150_o40,0.15,30.0,40.0,0.027755661457152313,2.1094237467877974e-13,59.875,30.0,0.15,47.663627371662386,40.25,36.01635648177734,83.67998385343974,0.12597083747970034,37.713666658613036,1.5732665170631321e-10,1.877272948995647e-12,False,False,False,0.1414872920140624,False
25mm_uniform,25.0,uniform,15.0,30.0,98.0,10.0,0.62,25.0,78.80595469107675,5.000000000000001,83.80595469107675,0.0,-1.4210854715202004e-14,1.8416666666666666,0.027755661457152372,59.875,h0.150_o60,0.15,30.0,60.0,0.027755661457152313,2.1094237467877974e-13,59.875,30.0,0.15,41.790724277942466,41.25,41.79811010638553,83.58883438432801,0.2171203063445349,24.415671159435497,4.0421901936760207e-10,4.823273248990759e-12,False,False,False,0.040754750021733344,False
25mm_uniform,25.0,uniform,15.0,30.0,98.0,10.0,0.62,25.0,78.80595469107675,5.000000000000001,83.80595469107675,0.0,-1.4210854715202004e-14,1.8416666666666666,0.027755661457152372,59.875,h0.150_o80,0.15,30.0,80.0,0.027755661457152313,2.1094237467877974e-13,59.875,30.0,0.15,35.03751658978052,42.25,48.644113547402426,83.68163013718295,0.12432455372664662,18.1559295389532,1.6715319406390705e-10,1.994526459128861e-12,False,False,True,0.049789999960921705,False
25mm_uniform,25.0,uniform,15.0,30.0,98.0,10.0,0.62,25.0,78.80595469107675,5.000000000000001,83.80595469107675,0.0,-1.4210854715202004e-14,1.8416666666666666,0.027755661457152372,59.875,h0.150_o100,0.15,30.0,100.0,0.027755661457152317,1.9984014443252818e-13,59.875,30.0,0.15,27.966597106062952,43.75,55.75839670629195,83.72499381235488,0.08096087858535093,14.499453712953429,1.3651692276628324e-10,1.628964472387532e-12,False,False,True,0.0458847499685362,False
25mm_uniform,25.0,uniform,15.0,60.0,98.0,10.0,0.62,25.0,78.80595469107675,5.000000000000001,83.80595469107675,0.0,-1.4210854715202004e-14,1.8416666666666666,0.027755661457152372,59.875,h0.300_o40,0.3,60.0,40.0,0.026389442561600637,4.922307103582558,60.625,60.0,0.3,16.14933251337328,60.25,67.51099187339716,83.66032438677045,0.1456303054334647,30.46522670462519,-1.1271559519077101e-09,1.3449592646042897e-11,False,False,False,0.1433501250576228,False
25mm_uniform,25.0,uniform,15.0,30.0,98.0,10.0,0.62,25.0,78.80595469107675,5.000000000000001,83.80595469107675,0.0,-1.4210854715202004e-14,1.8416666666666666,0.027755661457152372,59.875,h0.300_o60,0.3,60.0,60.0,0.025764289639329262,7.174650911841097,63.625,60.0,0.3,8.960645764991286,63.25,74.59845218453961,83.5590979495309,0.2468567394787511,18.67195990314548,2.067104015734955e-09,2.4665359679448294e-11,False,False,True,0.04339795804116875,False
25mm_uniform,25.0,uniform,15.0,30.0,98.0,10.0,0.62,25.0,78.80595469107675,5.000000000000001,83.80595469107675,0.0,-1.4210854715202004e-14,1.8416666666666666,0.027755661457152372,59.875,h0.300_o80,0.3,60.0,80.0,0.016442598314960814,40.75947950170825,70.125,60.0,0.3,0.974346858227571,69.75,82.69791356292446,83.67226042115202,0.1336942697663113,13.501807150076129,1.5842036016344707e-10,1.8903234352190357e-12,False,False,True,0.050223708036355674,False
25mm_uniform,25.0,uniform,15.0,30.0,98.0,10.0,0.62,25.0,78.80595469107675,5.000000000000001,83.80595469107675,0.0,-1.4210854715202004e-14,1.8416666666666666,0.027755661457152372,59.875,h0.300_o100,0.3,60.0,100.0,0.012750647629614678,54.0610925475568,71.875,53.32221100317374,0.2666110550158687,0.0,,83.72186835342184,83.72186835342184,0.08408633754552472,10.473053307125491,1.0938475125676916e-10,1.305214547820382e-12,True,True,True,0.047189250006340444,True
25mm_uniform,25.0,uniform,15.0,30.0,98.0,10.0,0.62,25.0,78.80595469107675,5.000000000000001,83.80595469107675,0.0,-1.4210854715202004e-14,1.8416666666666666,0.027755661457152372,59.875,h0.450_o40,0.45,90.0,40.0,0.002633029653822311,90.51354024516031,81.625,75.85875589732436,0.3792937794866218,0.0,,83.03715547924655,83.03715547924655,0.7687992134393618,27.145272946123043,-1.60916258096222e-09,1.920105303846095e-11,True,True,False,0.04976104199886322,False
25mm_uniform,25.0,uniform,15.0,30.0,98.0,10.0,0.62,25.0,78.80595469107675,5.000000000000001,83.80595469107675,0.0,-1.4210854715202004e-14,1.8416666666666666,0.027755661457152372,59.875,h0.450_o60,0.45,90.0,60.0,0.005533633073436964,80.06304738231704,77.125,68.7253999915318,0.343626999957659,0.0,,83.55125435614825,83.55125435614825,0.25470033053945285,15.728309087475441,4.3890477918751e-09,5.237155054260631e-11,True,True,True,0.05042300000786781,True
