event_id,rainfall_mm,shape,dt_s,horizon_h,curve_number,lag_min,discharge_coefficient,rainfall_total_mm,parking_runoff_m3,direct_rain_m3,total_inflow_m3,runoff_generation_error_m3,transform_error_m3,inflow_tail_end_h,baseline_peak_m3_s,baseline_time_to_peak_min
25mm_uniform,25.0,uniform,15.0,30.0,98.0,10.0,0.62,25.0,78.80595469107675,5.000000000000001,83.80595469107675,0.0,-1.4210854715202004e-14,1.8416666666666666,0.027755661457152372,59.875
25mm_front_loaded,25.0,front_loaded,15.0,30.0,98.0,10.0,0.62,25.000000000000004,78.80595469107675,5.0,83.80595469107675,0.0,-1.4210854715202004e-14,1.8416666666666666,0.03261928377675324,28.875
25mm_back_loaded,25.0,back_loaded,15.0,30.0,98.0,10.0,0.62,25.0,78.80595469107675,5.0,83.80595469107676,1.4210854715202004e-14,-2.842170943040401e-14,1.8416666666666666,0.04076408891913183,59.875
50mm_uniform,50.0,uniform,15.0,30.0,98.0,10.0,0.62,50.0,177.10337120827512,10.000000000000002,187.10337120827515,0.0,-2.842170943040401e-14,1.8416666666666666,0.05747165870504172,59.875
50mm_front_loaded,50.0,front_loaded,15.0,30.0,98.0,10.0,0.62,50.00000000000001,177.10337120827515,10.0,187.10337120827515,0.0,0.0,1.8416666666666666,0.07303450409135667,26.375
50mm_back_loaded,50.0,back_loaded,15.0,30.0,98.0,10.0,0.62,50.0,177.10337120827512,10.0,187.10337120827512,0.0,-2.842170943040401e-14,1.8416666666666666,0.08542637981187472,59.875
100mm_uniform,100.0,uniform,15.0,30.0,98.0,10.0,0.62,100.0,376.15038887164826,20.000000000000004,396.1503888716482,0.0,-5.684341886080802e-14,1.8416666666666666,0.11618574627237331,59.875
100mm_front_loaded,100.0,front_loaded,15.0,30.0,98.0,10.0,0.62,100.00000000000001,376.1503888716482,20.0,396.15038887164815,0.0,-5.684341886080802e-14,1.8416666666666666,0.15451085907979603,24.875
100mm_back_loaded,100.0,back_loaded,15.0,30.0,98.0,10.0,0.62,100.0,376.15038887164815,20.0,396.15038887164815,0.0,-1.1368683772161603e-13,1.8416666666666666,0.17348937433669395,59.875
