event_id,rainfall_mm,shape,dt_s,horizon_h,curve_number,lag_min,discharge_coefficient,rainfall_total_mm,parking_runoff_m3,direct_rain_m3,total_inflow_m3,runoff_generation_error_m3,transform_error_m3,inflow_tail_end_h,baseline_peak_m3_s,baseline_time_to_peak_min,design_id,storage_depth_m,capacity_m3,outlet_side_mm,peak_downstream_m3_s,peak_reduction_pct,time_to_peak_min,maximum_storage_m3,maximum_depth_m,overflow_m3,overflow_onset_min,controlled_discharge_m3,total_discharge_m3,residual_storage_m3,drawdown_h_after_rain,routing_balance_error_m3,routing_balance_relative_error,peak_pass,overflow_pass,drawdown_pass,simulation_runtime_s,all_pass
50mm_front_loaded,50.0,front_loaded,1.875,30.0,98.0,10.0,0.62,50.0,177.10337120827518,9.999999999999998,187.10337120827518,0.0,0.0,1.834375,0.07319136248828047,26.234375,h0.300_o80,0.3,60.0,80.0,0.07302729251521214,0.22416575875957578,27.359375,60.0,0.3,94.42022828813812,27.3125,92.54990467370583,186.97013296184392,0.13323824647307533,13.455732717580279,-4.181374690936934e-11,2.2347938810158654e-13,False,False,True,0.3633097920101136,False
50mm_front_loaded,50.0,front_loaded,1.875,30.0,98.0,10.0,0.62,50.0,177.10337120827518,9.999999999999998,187.10337120827518,0.0,0.0,1.834375,0.07319136248828047,26.234375,h0.600_o80,0.6,120.0,80.0,0.05035448326736211,31.201604184612684,46.609375,120.0,0.6,25.518238809224584,46.5625,161.4375141804199,186.95575298964448,0.14761821880682774,10.866642854256552,-1.7613061009669195e-10,9.41354551546969e-13,False,False,True,0.35134908300824463,False
50mm_front_loaded,50.0,front_loaded,1.875,30.0,98.0,10.0,0.62,50.0,177.10337120827518,9.999999999999998,187.10337120827518,0.0,0.0,1.834375,0.07319136248828047,26.234375,h0.900_o80,0.9,180.0,80.0,0.014503347232161352,80.18434588578174,68.640625,144.26907618428962,0.7213453809214481,0.0,,186.95057913627795,186.95057913627795,0.1527920722119312,9.5459521395388,-2.1470542010959548e-10,1.1475229907567775e-12,True,True,True,0.4172453749924898,True
50mm_back_loaded,50.0,back_loaded,1.875,30.0,98.0,10.0,0.62,50.0,177.10337120827515,10.0,187.10337120827515,0.0,0.0,1.834375,0.08567394941731443,59.984375,h0.300_o80,0.3,60.0,80.0,0.0856739494173136,9.769962616701378e-13,59.984375,60.0,0.3,98.7082625761559,48.65625,88.2604550857215,186.9687176618774,0.1346535464483705,13.610632314199,-5.062730790150738e-11,2.705846910965132e-13,False,False,True,0.3511499580927193,False
50mm_back_loaded,50.0,back_loaded,1.875,30.0,98.0,10.0,0.62,50.0,177.10337120827515,10.0,187.10337120827515,0.0,0.0,1.834375,0.08567394941731443,59.984375,h0.600_o80,0.6,120.0,80.0,0.08371504725705563,2.2864618400128434,63.734375,120.0,0.6,32.5494156133772,63.6875,154.4046682519749,186.95408386535212,0.14928734308675082,11.023211102494514,-1.6369092192825008e-10,8.748689073380545e-13,False,False,True,0.3682787079596892,False
50mm_back_loaded,50.0,back_loaded,1.875,30.0,98.0,10.0,0.62,50.0,177.10337120827515,10.0,187.10337120827515,0.0,0.0,1.834375,0.08567394941731443,59.984375,h0.900_o80,0.9,180.0,80.0,0.014879669257634363,82.63221275681353,78.546875,151.42842177246126,0.7571421088623063,0.0,,186.94729644042502,186.94729644042502,0.15607476807086604,9.83617962958544,-2.2073740058026203e-10,1.1797617496402403e-12,True,True,True,0.362533500068821,True
100mm_uniform,100.0,uniform,1.875,30.0,98.0,10.0,0.62,100.0,376.15038887164826,20.0,396.15038887164826,0.0,0.0,1.834375,0.11619016669016885,59.984375,h0.300_o80,0.3,60.0,80.0,0.11619016669016749,1.1657341758564144e-12,59.984375,60.0,0.3,296.9742682871101,23.6875,99.0412952993434,396.0155635864534,0.1348252852343149,13.629262397266302,-3.9535791307443446e-11,9.979995581994227e-14,False,False,True,0.35122008295729756,False
100mm_uniform,100.0,uniform,1.875,30.0,98.0,10.0,0.62,100.0,376.15038887164826,20.0,396.15038887164826,0.0,0.0,1.834375,0.11619016669016885,59.984375,h0.600_o80,0.6,120.0,80.0,0.11619016669017128,-2.0872192862952943e-12,59.984375,120.0,0.6,223.61620312287553,34.0625,172.38469138142293,396.0008945042985,0.14949436750597508,11.042447540168151,-1.561722695608836e-10,3.9422470341555825e-13,False,False,True,0.35150550003163517,False
100mm_uniform,100.0,uniform,1.875,30.0,98.0,10.0,0.62,100.0,376.15038887164826,20.0,396.15038887164826,0.0,0.0,1.834375,0.11619016669016885,59.984375,h0.900_o80,0.9,180.0,80.0,0.1161901666901637,4.429789868254375e-12,59.984375,180.0,0.9,155.87859193142518,44.15625,240.1095747691506,395.9881667005758,0.16222217129504046,10.355790958777822,-2.225688522372593e-10,5.618291903516749e-13,False,False,True,0.3606291670585051,False
100mm_front_loaded,100.0,front_loaded,1.875,30.0,98.0,10.0,0.62,100.0,376.1503888716482,19.999999999999996,396.15038887164826,0.0,0.0,1.834375,0.15482958805678665,24.828125,h0.300_o80,0.3,60.0,80.0,0.15482958805678587,4.996003610813204e-13,24.828125,60.0,0.3,298.4063546661287,18.0,97.61017055013926,396.01652521626795,0.13386365541873776,13.524484410330375,-3.848474317003081e-11,9.714680144489211e-14,False,False,True,0.38237270899116993,False
100mm_front_loaded,100.0,front_loaded,1.875,30.0,98.0,10.0,0.62,100.0,376.1503888716482,19.999999999999996,396.15038887164826,0.0,0.0,1.834375,0.15482958805678665,24.828125,h0.600_o80,0.6,120.0,80.0,0.1547906583608286,0.025143576526076572,25.203125,120.0,0.6,224.83513747520232,25.15625,171.16688477132067,396.00202224652304,0.14836662527811273,10.937172061891124,-1.5283563303825076e-10,3.8580205228012316e-13,False,False,True,0.36620991700328887,False
100mm_front_loaded,100.0,front_loaded,1.875,30.0,98.0,10.0,0.62,100.0,376.1503888716482,19.999999999999996,396.15038887164826,0.0,0.0,1.834375,0.15482958805678665,24.828125,h0.900_o80,0.9,180.0,80.0,0.14229490789099752,8.09579120057582,32.609375,180.0,0.9,156.35508537564968,32.5625,239.63435643381095,395.9894418094606,0.16094706240692436,10.250463663764151,-2.1929313920310278e-10,5.535603280050123e-13,False,False,True,0.3933346669655293,False
100mm_back_loaded,100.0,back_loaded,1.875,30.0,98.0,10.0,0.62,100.0,376.15038887164826,20.0,396.15038887164826,0.0,0.0,1.834375,0.17396175334108657,59.984375,h0.300_o80,0.3,60.0,80.0,0.1739617533410865,4.440892098500626e-14,59.984375,60.0,0.3,300.6977879220291,35.6875,95.31732565611195,396.015113578141,0.1352752935467963,13.677910554558105,-3.957595362535926e-11,9.990133731304192e-14,False,False,True,0.35788095893803984,False
100mm_back_loaded,100.0,back_loaded,1.875,30.0,98.0,10.0,0.62,100.0,376.15038887164826,20.0,396.15038887164826,0.0,0.0,1.834375,0.17396175334108657,59.984375,h0.600_o80,0.6,120.0,80.0,0.1739617533410865,4.440892098500626e-14,59.984375,120.0,0.6,229.64411635602406,46.0,166.35624509794656,396.0003614539706,0.15002741783628565,11.091794499658151,-1.586654696517087e-10,4.0051827313267113e-13,False,False,True,0.42767133307643235,False
100mm_back_loaded,100.0,back_loaded,1.875,30.0,98.0,10.0,0.62,100.0,376.15038887164826,20.0,396.15038887164826,0.0,0.0,1.834375,0.17396175334108657,59.984375,h0.900_o80,0.9,180.0,80.0,0.17396175334109407,-4.307665335545607e-12,59.984375,180.0,0.9,163.41745896736282,53.96875,232.57010124166987,395.98756020903267,0.16282866284640599,10.40545400077829,-2.3086735301269812e-10,5.827770450264497e-13,False,False,True,0.4214555410435423,False
