event_id,rainfall_mm,shape,dt_s,horizon_h,curve_number,lag_min,discharge_coefficient,rainfall_total_mm,parking_runoff_m3,direct_rain_m3,total_inflow_m3,runoff_generation_error_m3,transform_error_m3,inflow_tail_end_h,baseline_peak_m3_s,baseline_time_to_peak_min,design_id,storage_depth_m,capacity_m3,outlet_side_mm,peak_downstream_m3_s,peak_reduction_pct,time_to_peak_min,maximum_storage_m3,maximum_depth_m,overflow_m3,overflow_onset_min,controlled_discharge_m3,total_discharge_m3,residual_storage_m3,drawdown_h_after_rain,routing_balance_error_m3,routing_balance_relative_error,peak_pass,overflow_pass,drawdown_pass,simulation_runtime_s,all_pass
25mm_uniform,25.0,uniform,3.75,60.0,98.0,10.0,0.62,25.0,78.80595469107676,5.0,83.80595469107676,-1.4210854715202004e-14,1.4210854715202004e-14,1.8354166666666667,0.027764130174945407,59.96875,h0.150_o40,0.15,30.0,40.0,0.027764130174945004,1.454392162258955e-12,59.96875,30.0,0.15,47.68996505431443,40.25,35.99007906771594,83.68004412203037,0.1259105690538943,37.701230460835276,-7.497447107596145e-12,8.946198555022767e-14,False,False,False,0.531044666073285,False
25mm_uniform,25.0,uniform,3.75,30.0,98.0,10.0,0.62,25.0,78.80595469107676,5.0,83.80595469107676,-1.4210854715202004e-14,1.4210854715202004e-14,1.8354166666666667,0.027764130174945407,59.96875,h0.150_o60,0.15,30.0,60.0,0.027764130174945004,1.454392162258955e-12,59.96875,30.0,0.15,41.8375365066487,41.1875,41.751482674936746,83.58901918158546,0.2169355094479949,24.403353184097234,4.3326564558299197e-11,5.16986707185765e-13,False,False,False,0.17723633302375674,False
25mm_uniform,25.0,uniform,3.75,30.0,98.0,10.0,0.62,25.0,78.80595469107676,5.0,83.80595469107676,-1.4210854715202004e-14,1.4210854715202004e-14,1.8354166666666667,0.027764130174945407,59.96875,h0.150_o80,0.15,30.0,80.0,0.027764130174945004,1.454392162258955e-12,59.96875,30.0,0.15,35.103998567976845,42.375,48.57774826849879,83.68174683647564,0.12420785400698395,18.14369997591646,5.941403202758266e-10,7.089476188964502e-12,False,False,True,0.17203366593457758,False
25mm_uniform,25.0,uniform,3.75,30.0,98.0,10.0,0.62,25.0,78.80595469107676,5.0,83.80595469107676,-1.4210854715202004e-14,1.4210854715202004e-14,1.8354166666666667,0.027764130174945407,59.96875,h0.150_o100,0.15,30.0,100.0,0.027764130174945008,1.432187701766452e-12,59.96875,30.0,0.15,28.049091092757045,43.8125,55.67598439903689,83.72507549179394,0.08087919656885109,14.48729181131334,2.7139679670273864e-09,3.238395143914942e-11,False,False,True,0.1809699999867007,False
25mm_uniform,25.0,uniform,3.75,60.0,98.0,10.0,0.62,25.0,78.80595469107676,5.0,83.80595469107676,-1.4210854715202004e-14,1.4210854715202004e-14,1.8354166666666667,0.027764130174945407,59.96875,h0.300_o40,0.3,60.0,40.0,0.026397411456775897,4.922605929152601,60.78125,60.0,0.3,16.184151688877602,60.3125,67.47624722277183,83.66039891164942,0.14555577945507575,30.454149483779513,-2.7735425067731967e-11,3.309481428851868e-13,False,False,False,0.5292225420707837,False
25mm_uniform,25.0,uniform,3.75,30.0,98.0,10.0,0.62,25.0,78.80595469107676,5.0,83.80595469107676,-1.4210854715202004e-14,1.4210854715202004e-14,1.8354166666666667,0.027764130174945407,59.96875,h0.300_o60,0.3,60.0,60.0,0.025873346344216466,6.810167719337379,63.46875,60.0,0.3,9.021211307611582,63.375,74.53810992209759,83.55932122970917,0.24663346150715446,18.661008832825885,-1.3956044653262722e-10,1.6652807911689707e-12,False,False,True,0.1772932920139283,False
25mm_uniform,25.0,uniform,3.75,30.0,98.0,10.0,0.62,25.0,78.80595469107676,5.0,83.80595469107676,-1.4210854715202004e-14,1.4210854715202004e-14,1.8354166666666667,0.027764130174945407,59.96875,h0.300_o80,0.3,60.0,80.0,0.01699994455825807,38.77011650954234,69.84375,60.0,0.3,1.0561951603840174,69.75,82.61619619300002,83.67239135338403,0.1335633378612217,13.490943733384045,-1.6850115747146788e-10,2.0106107983924566e-12,False,False,True,0.178378792013973,False
25mm_uniform,25.0,uniform,3.75,30.0,98.0,10.0,0.62,25.0,78.80595469107676,5.0,83.80595469107676,-1.4210854715202004e-14,1.4210854715202004e-14,1.8354166666666667,0.027764130174945407,59.96875,h0.300_o100,0.3,60.0,100.0,0.012764049350005312,54.02683509413991,71.96875,53.41250817623363,0.26706254088116815,0.0,,83.7219449892876,83.7219449892876,0.08400970052091905,10.464157404654136,1.2682375150063763e-09,1.5133023896467966e-11,True,True,True,0.18214187491685152,True
25mm_uniform,25.0,uniform,3.75,30.0,98.0,10.0,0.62,25.0,78.80595469107676,5.0,83.80595469107676,-1.4210854715202004e-14,1.4210854715202004e-14,1.8354166666666667,0.027764130174945407,59.96875,h0.450_o40,0.45,90.0,40.0,0.0026337112863988525,90.51397875675019,81.71875,75.89594674120262,0.3794797337060131,0.0,,83.03757465648823,83.03757465648823,0.768380034623432,27.138966441374457,-3.4900304868301646e-11,4.1644182680037717e-13,True,True,False,0.17935320793185383,False
25mm_uniform,25.0,uniform,3.75,30.0,98.0,10.0,0.62,25.0,78.80595469107676,5.0,83.80595469107676,-1.4210854715202004e-14,1.4210854715202004e-14,1.8354166666666667,0.027764130174945407,59.96875,h0.450_o60,0.45,90.0,60.0,0.005536352565280494,80.0593336423824,77.09375,68.78697344998844,0.3439348672499422,0.0,,83.55143321187158,83.55143321187158,0.2545214793973958,15.72130786092319,-1.9221491065479768e-10,2.293571039949787e-12,True,True,True,0.18093366699758917,True
25mm_uniform,25.0,uniform,3.75,30.0,98.0,10.0,0.62,25.0,78.80595469107676,5.0,83.80595469107676,-1.4210854715202004e-14,1.4210854715202004e-14,1.8354166666666667,0.027764130174945407,59.96875,h0.450_o80,0.45,90.0,80.0,0.009041050147953922,67.43622043627843,74.21875,61.03969686241695,0.30519848431208474,0.0,,83.67210795286056,83.67210795286056,0.13384673845717496,10.979729956982936,-2.4096843964649395e-10,2.875314057750971e-12,True,True,True,0.1813004589639604,True
25mm_uniform,25.0,uniform,3.75,30.0,98.0,10.0,0.62,25.0,78.80595469107676,5.0,83.80595469107676,-1.4210854715202004e-14,1.4210854715202004e-14,1.8354166666666667,0.027764130174945407,59.96875,h0.450_o100,0.45,90.0,100.0,0.012764049350005312,54.02683509413991,71.96875,53.41250817623363,0.26706254088116815,0.0,,83.7219449892876,83.7219449892876,0.08400970052091905,8.430241917421776,1.2682375150063763e-09,1.5133023896467966e-11,True,True,True,0.18105850007850677,True
25mm_uniform,25.0,uniform,3.75,30.0,98.0,10.0,0.62,25.0,78.80595469107676,5.0,83.80595469107676,-1.4210854715202004e-14,1.4210854715202004e-14,1.8354166666666667,0.027764130174945407,59.96875,h0.600_o40,0.6,120.0,40.0,0.0026337112863988525,90.51397875675019,81.71875,75.89594674120262,0.3794797337060131,0.0,,83.03757465648823,83.03757465648823,0.768380034623432,24.10807669812533,-3.4900304868301646e-11,4.1644182680037717e-13,True,True,False,0.18014029203914106,False
