event_id,rainfall_mm,shape,dt_s,horizon_h,curve_number,lag_min,discharge_coefficient,rainfall_total_mm,parking_runoff_m3,direct_rain_m3,total_inflow_m3,runoff_generation_error_m3,transform_error_m3,inflow_tail_end_h,baseline_peak_m3_s,baseline_time_to_peak_min,design_id,storage_depth_m,capacity_m3,outlet_side_mm,peak_downstream_m3_s,peak_reduction_pct,time_to_peak_min,maximum_storage_m3,maximum_depth_m,overflow_m3,overflow_onset_min,controlled_discharge_m3,total_discharge_m3,residual_storage_m3,drawdown_h_after_rain,routing_balance_error_m3,routing_balance_relative_error,peak_pass,overflow_pass,drawdown_pass,simulation_runtime_s,all_pass
25mm_uniform,25.0,uniform,30.0,60.0,98.0,10.0,0.62,25.0,78.80595469107676,5.0,83.80595469107676,1.4210854715202004e-14,0.0,1.85,0.027744119871530394,59.75,h0.150_o40,0.15,30.0,40.0,0.027744119871530398,-2.220446049250313e-14,59.75,30.0,0.15,47.62844476083876,40.0,36.05145867285645,83.67990343369522,0.12605125718791227,37.73025100799868,1.9363527448135187e-10,2.3105192846394383e-12,False,False,False,0.07162279193289578,False
25mm_uniform,25.0,uniform,30.0,30.0,98.0,10.0,0.62,25.0,78.80595469107676,5.0,83.80595469107676,1.4210854715202004e-14,0.0,1.85,0.027744119871530394,59.75,h0.150_o60,0.15,30.0,60.0,0.027744119871530398,-2.220446049250313e-14,59.75,30.0,0.15,41.72818274460858,41.0,41.86040486368549,83.58858760829406,0.217367082670838,24.43210251708601,1.1186299109233744e-10,1.3347857142691561e-12,False,False,False,0.0243204579455778,False
25mm_uniform,25.0,uniform,30.0,30.0,98.0,10.0,0.62,25.0,78.80595469107676,5.0,83.80595469107676,1.4210854715202004e-14,0.0,1.85,0.027744119871530394,59.75,h0.150_o80,0.15,30.0,80.0,0.027744119871530398,-2.220446049250313e-14,59.75,30.0,0.15,34.949228902602215,42.5,48.732245707145296,83.68147460974751,0.12448008124278713,18.17220335935301,8.646568183667824e-11,1.0317367322573401e-12,False,False,True,0.023122083977796137,False
25mm_uniform,25.0,uniform,30.0,30.0,98.0,10.0,0.62,25.0,78.80595469107676,5.0,83.80595469107676,1.4210854715202004e-14,0.0,1.85,0.027744119871530394,59.75,h0.150_o100,0.15,30.0,100.0,0.0277441198715304,-2.220446049250313e-14,59.75,30.0,0.15,27.856425756476284,43.5,55.86845908783439,83.72488484431068,0.08106984669615966,14.515653264993947,6.992453838172707e-11,8.343624106363445e-13,False,False,True,0.03181466704700142,False
25mm_uniform,25.0,uniform,30.0,60.0,98.0,10.0,0.62,25.0,78.80595469107676,5.0,83.80595469107676,1.4210854715202004e-14,0.0,1.85,0.027744119871530394,59.75,h0.300_o40,0.3,60.0,40.0,0.026379178915079866,4.919748626991627,60.75,60.0,0.3,16.102569455479582,60.0,67.55765534119351,83.6602247966731,0.14572989151155555,30.480025921207453,2.8921166850270907e-09,3.450968007807957e-11,False,False,False,0.06351087498478591,False
25mm_uniform,25.0,uniform,30.0,30.0,98.0,10.0,0.62,25.0,78.80595469107676,5.0,83.80595469107676,1.4210854715202004e-14,0.0,1.85,0.027744119871530394,59.75,h0.300_o60,0.3,60.0,60.0,0.025344310360735516,8.649795062547438,64.25,60.0,0.3,8.8790866961403,63.5,74.67971263211034,83.55879932825063,0.24715536273836608,18.686595297861402,8.776862570059052e-11,1.047283883634771e-12,False,False,True,0.02941237506456673,False
25mm_uniform,25.0,uniform,30.0,30.0,98.0,10.0,0.62,25.0,78.80595469107676,5.0,83.80595469107676,1.4210854715202004e-14,0.0,1.85,0.027744119871530394,59.75,h0.300_o80,0.3,60.0,80.0,0.015234044957217207,45.09090564862499,70.75,60.0,0.3,0.8655705341902918,70.0,82.80651524204876,83.67208577623904,0.13386891477147111,13.516274038627378,6.623457338150729e-11,7.903325440973661e-13,False,False,True,0.021125332918018103,False
25mm_uniform,25.0,uniform,30.0,30.0,98.0,10.0,0.62,25.0,78.80595469107676,5.0,83.80595469107676,1.4210854715202004e-14,0.0,1.85,0.027744119871530394,59.75,h0.300_o100,0.3,60.0,100.0,0.012732833855651103,54.10618929484625,71.75,53.20233616282447,0.26601168081412235,0.0,,83.72176613119983,83.72176613119983,0.08418855981138038,10.484901253533069,6.555481157910492e-11,7.822214044425756e-13,True,True,True,0.02580587496049702,True
25mm_uniform,25.0,uniform,30.0,30.0,98.0,10.0,0.62,25.0,78.80595469107676,5.0,83.80595469107676,1.4210854715202004e-14,0.0,1.85,0.027744119871530394,59.75,h0.450_o40,0.45,90.0,40.0,0.002632126677443692,90.51284852562705,81.75,75.80950305901183,0.37904751529505915,0.0,,83.03659674478573,83.03659674478573,0.7693579464090009,27.153675312794498,-1.1796308374556475e-10,1.4075740104673595e-12,True,True,False,0.021146167069673538,False
25mm_uniform,25.0,uniform,30.0,30.0,98.0,10.0,0.62,25.0,78.80595469107676,5.0,83.80595469107676,1.4210854715202004e-14,0.0,1.85,0.027744119871530394,59.75,h0.450_o60,0.45,90.0,60.0,0.005529975735307433,80.06793597737439,77.25,68.64264010507647,0.34321320052538234,0.0,,83.55101585912273,83.55101585912273,0.25493883185748434,15.737636752325894,9.655121147034151e-11,1.1520805630846396e-12,True,True,True,0.023810500046238303,True
