event_id,rainfall_mm,shape,dt_s,horizon_h,curve_number,lag_min,discharge_coefficient,rainfall_total_mm,parking_runoff_m3,direct_rain_m3,total_inflow_m3,runoff_generation_error_m3,transform_error_m3,inflow_tail_end_h,baseline_peak_m3_s,baseline_time_to_peak_min,design_id,storage_depth_m,capacity_m3,outlet_side_mm,peak_downstream_m3_s,peak_reduction_pct,time_to_peak_min,maximum_storage_m3,maximum_depth_m,overflow_m3,overflow_onset_min,controlled_discharge_m3,total_discharge_m3,residual_storage_m3,drawdown_h_after_rain,routing_balance_error_m3,routing_balance_relative_error,peak_pass,overflow_pass,drawdown_pass,simulation_runtime_s,all_pass,varied_parameter,parameter_value,is_nominal
50mm_front_loaded,50.0,front_loaded,1.875,30.0,98.0,5.0,0.62,50.0,177.10337120827518,9.999999999999998,187.10337120827518,0.0,0.0,1.4177083333333333,0.07965030484263178,19.984375,h0.750_o100,0.75,150.0,100.0,0.02126168848272362,73.3062057643958,57.515625,129.98948339816263,0.6499474169908132,0.0,,187.01322829799005,187.01322829799005,0.09014291088551321,7.416716976138398,-6.003893215922318e-10,3.2088642642569225e-12,True,True,True,0.3688473750371486,True,lag_min,5.0,False
50mm_back_loaded,50.0,back_loaded,1.875,30.0,98.0,5.0,0.62,50.0,177.10337120827518,10.0,187.10337120827518,0.0,0.0,1.4177083333333333,0.09658182050008607,59.984375,h0.750_o100,0.75,150.0,100.0,0.02253692048624323,76.66546315905988,68.109375,144.7983244083942,0.723991622041971,0.0,,187.01136233240166,187.01136233240166,0.0920088764412138,7.7081277564381425,-5.676962233636118e-10,3.034131452028609e-12,True,True,True,0.37708137498702854,True,lag_min,5.0,False
50mm_uniform,50.0,uniform,1.875,30.0,98.0,10.0,0.62,50.0,177.10337120827518,10.0,187.10337120827518,0.0,0.0,1.834375,0.057478790323088766,59.984375,h0.750_o100,0.75,150.0,100.0,0.021216141191131136,63.088747915752876,73.390625,129.4765422254501,0.6473827111272504,0.0,,187.01172195697436,187.01172195697436,0.0916492518994075,7.652657663283192,-5.985852508105793e-10,3.199222156955477e-12,True,True,True,0.38959850009996444,True,lag_min,10.0,True
50mm_front_loaded,50.0,front_loaded,1.875,30.0,98.0,10.0,0.62,50.0,177.10337120827518,9.999999999999998,187.10337120827518,0.0,0.0,1.834375,0.07319136248828047,26.234375,h0.750_o100,0.75,150.0,100.0,0.021044243487933094,71.24764074271368,64.578125,127.55061030213153,0.6377530515106576,0.0,,187.01261262905052,187.01261262905052,0.09075857982171373,7.513859819999553,-5.970587080295076e-10,3.191063336666918e-12,True,True,True,0.3976736250333488,True,lag_min,10.0,True
50mm_back_loaded,50.0,back_loaded,1.875,30.0,98.0,10.0,0.62,50.0,177.10337120827515,10.0,187.10337120827515,0.0,0.0,1.834375,0.08567394941731443,59.984375,h0.750_o100,0.75,150.0,100.0,0.02194021086661386,74.39103599655019,76.171875,137.7613649883793,0.6888068249418966,0.0,,187.01072269247368,187.01072269247368,0.0926485163734775,7.805989400841937,-5.720061230229945e-10,3.0571663104149134e-12,True,True,True,0.40630308305844665,True,lag_min,10.0,True
50mm_uniform,50.0,uniform,1.875,30.0,98.0,15.0,0.62,50.0,177.10337120827518,10.0,187.10337120827518,0.0,0.0,2.2510416666666666,0.05669183932245704,59.984375,h0.750_o100,0.75,150.0,100.0,0.020748136379406604,63.401899413787845,80.296875,124.2698724634308,0.621349362317154,0.0,,187.0110864727644,187.0110864727644,0.09228473610426735,7.750457635146518,-5.934797098205991e-10,3.1719348827764507e-12,True,True,True,0.38881762500386685,True,lag_min,15.0,False
50mm_front_loaded,50.0,front_loaded,1.875,30.0,98.0,15.0,0.62,50.0,177.10337120827518,9.999999999999998,187.10337120827518,0.0,0.0,2.2510416666666666,0.0661889776760273,34.078125,h0.750_o100,0.75,150.0,100.0,0.02070124869365012,68.72402411927898,71.109375,123.75465161587957,0.6187732580793979,0.0,,187.01199980712352,187.01199980712352,0.09137140175328456,7.609576770616206,-6.01622807128166e-10,3.2154567993244017e-12,True,True,True,0.4423551249783486,True,lag_min,15.0,False
50mm_back_loaded,50.0,back_loaded,1.875,30.0,98.0,15.0,0.62,50.0,177.10337120827518,10.0,187.10337120827515,0.0,0.0,2.2510416666666666,0.07589589296070459,65.890625,h0.750_o100,0.75,150.0,100.0,0.02134366894696218,71.87770231781455,84.046875,130.91550324288065,0.6545775162144032,0.0,,187.010087317415,187.010087317415,0.09328389143436124,7.902200338074402,-5.742257919161275e-10,3.069029639647299e-12,True,True,True,0.39269570796750486,True,lag_min,15.0,False
50mm_uniform,50.0,uniform,1.875,30.0,98.0,10.0,0.5,50.0,177.10337120827518,10.0,187.10337120827518,0.0,0.0,1.834375,0.057478790323088766,59.984375,h0.750_o100,0.75,150.0,100.0,0.017726506361295708,69.15991749016487,74.484375,138.23482464729187,0.6911741232364593,0.0,,186.960104440535,186.960104440535,0.14326676807337219,9.568177446043272,-3.3318553471772816e-10,1.7807564479789132e-12,True,True,True,0.3767007919959724,True,discharge_coefficient,0.5,False
50mm_front_loaded,50.0,front_loaded,1.875,30.0,98.0,10.0,0.5,50.0,177.10337120827518,9.999999999999998,187.10337120827518,0.0,0.0,1.834375,0.07319136248828047,26.234375,h0.750_o100,0.75,150.0,100.0,0.017601632838452168,75.95121577184662,66.765625,136.4363405861907,0.6821817029309536,0.0,,186.9614942290911,186.9614942290911,0.14187697950761405,9.430771715466703,-3.235381129673698e-10,1.729194460142685e-12,True,True,True,0.39840220799669623,True,discharge_coefficient,0.5,False
50mm_back_loaded,50.0,back_loaded,1.875,30.0,98.0,10.0,0.5,50.0,177.10337120827515,10.0,187.10337120827515,0.0,0.0,1.834375,0.08567394941731443,59.984375,h0.750_o100,0.75,150.0,100.0,0.01819988981831762,78.75679837091825,77.296875,145.16839133455423,0.7258419566727712,0.0,,186.95851412455775,186.95851412455775,0.14485708403595654,9.7229765255467,-3.1855906801325773e-10,1.702583261627349e-12,True,True,True,0.3798543750308454,True,discharge_coefficient,0.5,False
50mm_uniform,50.0,uniform,1.875,30.0,98.0,10.0,0.62,50.0,177.10337120827518,10.0,187.10337120827518,0.0,0.0,1.834375,0.057478790323088766,59.984375,h0.750_o100,0.75,150.0,100.0,0.021216141191131136,63.088747915752876,73.390625,129.4765422254501,0.6473827111272504,0.0,,187.01172195697436,187.01172195697436,0.0916492518994075,7.652657663283192,-5.985852508105793e-10,3.199222156955477e-12,True,True,True,0.3733234580140561,True,discharge_coefficient,0.62,True
50mm_front_loaded,50.0,front_loaded,1.875,30.0,98.0,10.0,0.62,50.0,177.10337120827518,9.999999999999998,187.10337120827518,0.0,0.0,1.834375,0.07319136248828047,26.234375,h0.750_o100,0.75,150.0,100.0,0.021044243487933094,71.24764074271368,64.578125,127.55061030213153,0.6377530515106576,0.0,,187.01261262905052,187.01261262905052,0.09075857982171373,7.513859819999553,-5.970587080295076e-10,3.191063336666918e-12,True,True,True,0.4272883749799803,True,discharge_coefficient,0.62,True
50mm_back_loaded,50.0,back_loaded,1.875,30.0,98.0,10.0,0.62,50.0,177.10337120827515,10.0,187.10337120827515,0.0,0.0,1.834375,0.08567394941731443,59.984375,h0.750_o100,0.75,150.0,100.0,0.02194021086661386,74.39103599655019,76.171875,137.7613649883793,0.6888068249418966,0.0,,187.01072269247368,187.01072269247368,0.0926485163734775,7.805989400841937,-5.720061230229945e-10,3.0571663104149134e-12,True,True,True,0.38296750001609325,True,discharge_coefficient,0.62,True
50mm_uniform,50.0,uniform,1.875,30.0,98.0,10.0,0.75,50.0,177.10337120827518,10.0,187.10337120827518,0.0,0.0,1.834375,0.057478790323088766,59.984375,h0.750_o100,0.75,150.0,100.0,0.02470732665129032,57.014880597851445,72.421875,120.73985033027652,0.6036992516513826,0.0,,187.04146732987806,187.04146732987806,0.0619038793825503,6.27156761363921,-9.854325480618265e-10,5.2667813610097205e-12,True,True,True,0.3776103340787813,True,discharge_coefficient,0.75,False
50mm_front_loaded,50.0,front_loaded,1.875,30.0,98.0,10.0,0.75,50.0,177.10337120827518,9.999999999999998,187.10337120827518,0.0,0.0,1.834375,0.07319136248828047,26.234375,h0.750_o100,0.75,150.0,100.0,0.024499564509425135,66.52669976823009,62.265625,118.88782102091939,0.594439105104597,0.0,,187.04207178501838,187.04207178501838,0.06129942426057773,6.131289112792692,-1.0037792402828316e-09,5.364837810246984e-12,True,True,True,0.4061190419597551,True,discharge_coefficient,0.75,False
50mm_back_loaded,50.0,back_loaded,1.875,30.0,98.0,10.0,0.75,50.0,177.10337120827515,10.0,187.10337120827515,0.0,0.0,1.834375,0.08567394941731443,59.984375,h0.750_o100,0.75,150.0,100.0,0.025758768576723764,69.93395454287533,75.203125,130.35307971319443,0.6517653985659722,0.0,,187.04080380562,187.04080380562,0.0625674035746469,6.423207971650976,-9.194847522264737e-10,4.914314190538791e-12,True,True,True,0.36907066707499325,True,discharge_coefficient,0.75,False
