event_id,rainfall_mm,shape,dt_s,horizon_h,curve_number,lag_min,discharge_coefficient,rainfall_total_mm,parking_runoff_m3,direct_rain_m3,total_inflow_m3,runoff_generation_error_m3,transform_error_m3,inflow_tail_end_h,baseline_peak_m3_s,baseline_time_to_peak_min
25mm_uniform,25.0,uniform,3.75,30.0,98.0,10.0,0.62,25.0,78.80595469107676,5.0,83.80595469107676,-1.4210854715202004e-14,1.4210854715202004e-14,1.8354166666666667,0.027764130174945407,59.96875
25mm_front_loaded,25.0,front_loaded,3.75,30.0,98.0,10.0,0.62,25.0,78.80595469107676,4.999999999999999,83.80595469107675,0.0,0.0,1.8354166666666667,0.032672576811513095,28.71875
25mm_back_loaded,25.0,back_loaded,3.75,30.0,98.0,10.0,0.62,25.0,78.80595469107675,5.0,83.80595469107675,0.0,0.0,1.8354166666666667,0.040880040314963416,59.96875
50mm_uniform,50.0,uniform,3.75,30.0,98.0,10.0,0.62,50.0,177.10337120827518,10.0,187.10337120827518,0.0,0.0,1.8354166666666667,0.05747778352992473,59.96875
50mm_front_loaded,50.0,front_loaded,3.75,30.0,98.0,10.0,0.62,50.0,177.10337120827518,9.999999999999998,187.10337120827515,0.0,0.0,1.8354166666666667,0.07316916033435841,26.21875
50mm_back_loaded,50.0,back_loaded,3.75,30.0,98.0,10.0,0.62,50.0,177.10337120827518,10.0,187.10337120827518,0.0,0.0,1.8354166666666667,0.08563858368271136,59.96875
100mm_uniform,100.0,uniform,3.75,30.0,98.0,10.0,0.62,100.0,376.1503888716483,20.0,396.15038887164826,0.0,5.684341886080802e-14,1.8354166666666667,0.1161895439923202,59.96875
100mm_front_loaded,100.0,front_loaded,3.75,30.0,98.0,10.0,0.62,100.0,376.15038887164826,19.999999999999996,396.15038887164826,0.0,0.0,1.8354166666666667,0.1547842577769317,24.84375
100mm_back_loaded,100.0,back_loaded,3.75,30.0,98.0,10.0,0.62,100.0,376.15038887164826,20.0,396.15038887164826,0.0,0.0,1.8354166666666667,0.1738942610493628,59.96875
