event_id,rainfall_mm,shape,dt_s,horizon_h,curve_number,lag_min,discharge_coefficient,rainfall_total_mm,parking_runoff_m3,direct_rain_m3,total_inflow_m3,runoff_generation_error_m3,transform_error_m3,inflow_tail_end_h,baseline_peak_m3_s,baseline_time_to_peak_min
25mm_uniform,25.0,uniform,30.0,30.0,98.0,10.0,0.62,25.0,78.80595469107676,5.0,83.80595469107676,1.4210854715202004e-14,0.0,1.85,0.027744119871530394,59.75
25mm_front_loaded,25.0,front_loaded,30.0,30.0,98.0,10.0,0.62,25.0,78.80595469107678,5.0,83.80595469107676,0.0,0.0,1.85,0.03254795291777476,28.75
25mm_back_loaded,25.0,back_loaded,30.0,30.0,98.0,10.0,0.62,25.0,78.80595469107676,5.0,83.80595469107676,-1.4210854715202004e-14,0.0,1.85,0.040609482181394506,59.75
50mm_uniform,50.0,uniform,30.0,30.0,98.0,10.0,0.62,50.0,177.10337120827518,10.0,187.10337120827518,0.0,-2.842170943040401e-14,1.85,0.05746325765705451,59.75
50mm_front_loaded,50.0,front_loaded,30.0,30.0,98.0,10.0,0.62,50.0,177.1033712082752,10.0,187.10337120827518,0.0,0.0,1.85,0.07285597283730905,26.25
50mm_back_loaded,50.0,back_loaded,30.0,30.0,98.0,10.0,0.62,50.0,177.10337120827518,10.0,187.10337120827518,0.0,2.842170943040401e-14,1.85,0.08514351371044926,59.75
100mm_uniform,100.0,uniform,30.0,30.0,98.0,10.0,0.62,100.0,376.15038887164826,20.0,396.15038887164826,0.0,0.0,1.85,0.11618050901753865,59.75
100mm_front_loaded,100.0,front_loaded,30.0,30.0,98.0,10.0,0.62,100.0,376.1503888716482,20.0,396.1503888716483,0.0,0.0,1.85,0.15413383158588884,24.75
100mm_back_loaded,100.0,back_loaded,30.0,30.0,98.0,10.0,0.62,100.0,376.15038887164826,20.0,396.15038887164826,0.0,0.0,1.85,0.17294992053763247,59.75
