event_id,design_id,coarse_dt_s,fine_dt_s,peak_downstream_m3_s_relative_change,maximum_storage_m3_relative_change,baseline_peak_m3_s_relative_change,overflow_change_m3,overflow_onset_change_s,overflow_classification_stable,drawdown_change_s,acceptance_stable,peak_storage_converged
25mm_uniform,h0.150_o40,30.0,15.0,0.00041582815958946423,0.0,0.0004158281595917133,0.03518261082362528,15.0,True,59.70365778832445,True,True
25mm_uniform,h0.150_o60,30.0,15.0,0.00041582815958946423,0.0,0.0004158281595917133,0.06254153333388501,15.0,True,59.15288754185184,True,True
25mm_uniform,h0.150_o80,30.0,15.0,0.00041582815958946423,0.0,0.0004158281595917133,0.08828768717830826,15.0,True,58.585753439317045,True,True
25mm_uniform,h0.150_o100,30.0,15.0,0.0004158281595894642,0.0,0.0004158281595917133,0.1101713495866683,15.0,True,58.31838734586654,True,True
25mm_uniform,h0.300_o40,30.0,15.0,0.00038893002369461,0.0,0.0004158281595917133,0.046763057893699056,15.0,True,53.277179696141275,True,True
25mm_uniform,h0.300_o60,30.0,15.0,0.01630082895639578,0.0,0.0004158281595917133,0.08155906885098574,15.0,True,52.68742097731405,True,False
25mm_uniform,h0.300_o80,30.0,15.0,0.07350136119569171,0.0,0.0004158281595917133,0.10877632403727922,15.0,True,52.08079878449681,True,False
25mm_uniform,h0.300_o100,30.0,15.0,0.001397087777894624,0.002248122088225743,0.0004158281595917133,0.0,,True,42.65260706727929,True,True
25mm_uniform,h0.450_o40,30.0,15.0,0.0003429419707855768,0.0006492703146778519,0.0004158281595917133,0.0,,True,30.24852001723559,True,True
25mm_uniform,h0.450_o60,30.0,15.0,0.0006609289197519299,0.0012042110553817462,0.0004158281595917133,0.0,,True,33.57959346163,True,True
25mm_uniform,h0.450_o80,30.0,15.0,0.0010233293821219848,0.001770351088010444,0.0004158281595917133,0.0,,True,36.06532600121568,True,True
25mm_uniform,h0.450_o100,30.0,15.0,0.001397087777894624,0.002248122088225743,0.0004158281595917133,0.0,,True,38.09564939949155,True,True
25mm_uniform,h0.600_o40,30.0,15.0,0.0003429419707855768,0.0006492703146778519,0.0004158281595917133,0.0,,True,27.013534357226376,True,True
25mm_uniform,h0.600_o60,30.0,15.0,0.0006609289197519299,0.0012042110553817462,0.0004158281595917133,0.0,,True,30.342033412694747,True,True
25mm_uniform,h0.600_o80,30.0,15.0,0.0010233293821219848,0.001770351088010444,0.0004158281595917133,0.0,,True,32.83326319888715,True,True
25mm_uniform,h0.600_o100,30.0,15.0,0.001397087777894624,0.002248122088225743,0.0004158281595917133,0.0,,True,34.86514493773001,True,True
25mm_uniform,h0.750_o40,30.0,15.0,0.0003429419707855768,0.0006492703146778519,0.0004158281595917133,0.0,,True,24.502837124352084,True,True
25mm_uniform,h0.750_o60,30.0,15.0,0.0006609289197519299,0.0012042110553817462,0.0004158281595917133,0.0,,True,27.83482382353668,True,True
25mm_uniform,h0.750_o80,30.0,15.0,0.0010233293821219848,0.001770351088010444,0.0004158281595917133,0.0,,True,30.324023003370826,True,True
25mm_uniform,h0.750_o100,30.0,15.0,0.001397087777894624,0.002248122088225743,0.0004158281595917133,0.0,,True,32.359049853028665,True,True
